app_id,playtime_in_seconds,year,month
105600,8205,2022,November
105600,3546,2022,August
105600,1296,2022,October
1145360,22304,2022,total
1145360,963,2022,January
1145360,308,2022,November
1145360,21033,2022,December
1172470,68216,2022,total
1172470,6298,2022,January
1172470,203,2022,November
1172470,1749,2022,March
1172470,3436,2022,August
1172470,43647,2022,September
1172470,12883,2022,October
1237970,6244,2022,February
1313140,59499,2022,total
1313140,34376,2022,August
1313140,25123,2022,September
1703340,6041,2022,May
1812820,121,2022,April
1948280,14850,2022,total
1948280,14850,2022,December
1967510,24709,2022,total
1967510,222,2022,November
1967510,24487,2022,September
238960,450589,2022,total
238960,553,2022,January
238960,733,2022,February
238960,25731,2022,March
238960,183762,2022,April
238960,206597,2022,May
238960,33213,2022,June
275850,3283,2022,August
275850,5192,2022,September
359320,171403,2022,total
359320,7550,2022,January
359320,33881,2022,February
359320,7783,2022,November
359320,4442,2022,December
359320,24485,2022,March
359320,3360,2022,May
359320,16092,2022,June
359320,14666,2022,July
359320,36324,2022,August
359320,22820,2022,September
3920,1248,2022,January
392110,52871,2022,total
392110,47952,2022,March
392110,4919,2022,June
452280,445,2022,August
526870,156816,2022,total
526870,2340,2022,January
526870,55727,2022,November
526870,18069,2022,April
526870,56200,2022,May
526870,23816,2022,June
526870,664,2022,October
528230,3637,2022,November
528230,1302,2022,August
552990,1789,2022,December
597220,9175,2022,October
599390,5048,2022,April
620,3879,2022,July
620,3328,2022,August
632470,14395,2022,total
632470,2389,2022,January
632470,7398,2022,February
632470,4608,2022,September
648800,6689,2022,June
730,11887,2022,June
1062090,213839,2023,total
1172470,994503,2023,total
1237970,27096,2023,total
1894430,78624,2023,total
1931770,33623,2023,total
236850,176482,2023,total
255710,441551,2023,total
413150,34194,2023,total
813780,52008,2023,total
949230,119399,2023,total
1062090,413560,2024,total
1062090,89986,2024,January
1062090,7889,2024,February
1062090,35043,2024,November
1062090,56977,2024,December
1062090,124751,2024,March
1062090,3331,2024,April
1062090,82502,2024,June
1062090,12934,2024,July
1062090,147,2024,October
1086940,4190,2024,January
1145350,5615,2024,May
1172470,1307670,2024,total
1172470,213252,2024,January
1172470,157414,2024,February
1172470,67053,2024,November
1172470,47315,2024,December
1172470,120513,2024,March
1172470,145754,2024,April
1172470,78683,2024,May
1172470,179930,2024,June
1172470,83233,2024,July
1172470,126814,2024,August
1172470,55583,2024,September
1172470,32126,2024,October
1174180,48029,2024,total
1174180,48029,2024,January
1217060,9170,2024,January
1237970,10428,2024,November
1282100,2847,2024,January
1363080,8882,2024,April
1363080,2293,2024,May
1894430,420,2024,March
1948280,3288,2024,April
1957990,1773,2024,April
2073850,2007,2024,January
2086650,1011,2024,January
2198150,1826,2024,September
2357570,366343,2024,total
2357570,151455,2024,July
2357570,130928,2024,August
2357570,83960,2024,September
236850,9305,2024,December
236850,1891,2024,May
2379780,53787,2024,total
2379780,50422,2024,June
2379780,1315,2024,July
2379780,2050,2024,October
2379910,739,2024,August
238960,4260,2024,January
2678990,10183,2024,March
2767030,23941,2024,total
2767030,23941,2024,December
289070,85796,2024,total
289070,66275,2024,February
289070,12131,2024,March
289070,7390,2024,October
2932580,289,2024,June
2932580,354,2024,September
359320,13,2024,November
359320,269,2024,May
359320,3809,2024,June
359320,27,2024,July
361280,238,2024,March
383870,543,2024,January
386070,71,2024,July
3920,2667,2024,June
413150,3956,2024,April
427520,104230,2024,total
427520,91017,2024,February
427520,8814,2024,March
427520,4399,2024,April
526870,114621,2024,total
526870,456,2024,January
526870,29534,2024,November
526870,1051,2024,June
526870,56348,2024,September
526870,27232,2024,October
730,4,2024,March
730,31,2024,May
813780,6585,2024,January
916440,466,2024,March
949230,299993,2024,total
949230,54147,2024,January
949230,762,2024,December
949230,5101,2024,March
949230,485,2024,May
949230,3013,2024,June
949230,77323,2024,July
949230,35815,2024,August
949230,122774,2024,September
949230,573,2024,October
1030300,14778,2025,September
105600,164,2025,December
105600,242,2025,September
1062090,27866,2025,total
1062090,3476,2025,January
1062090,6750,2025,November
1062090,180,2025,December
1062090,9003,2025,May
1062090,2878,2025,June
1062090,5579,2025,August
1091500,5539,2025,September
113020,5284,2025,August
1145360,1505,2025,November
1145360,1140,2025,December
1145360,3561,2025,August
1145360,1571,2025,September
1145360,654,2025,October
1172470,545743,2025,total
1172470,42846,2025,January
1172470,90062,2025,February
1172470,9617,2025,November
1172470,2529,2025,December
1172470,65229,2025,March
1172470,54024,2025,April
1172470,32517,2025,May
1172470,51227,2025,June
1172470,30440,2025,July
1172470,95452,2025,August
1172470,28768,2025,September
1172470,43032,2025,October
1174180,826,2025,September
1455840,2381,2025,September
1569580,67193,2025,total
1569580,50377,2025,May
1569580,15704,2025,September
1569580,1112,2025,October
1836730,3161,2025,April
1894430,21511,2025,total
1894430,3678,2025,March
1894430,17833,2025,April
1931770,1949,2025,August
1931770,38,2025,September
2198150,3422,2025,August
2198150,162,2025,September
2357570,42416,2025,total
2357570,21618,2025,February
2357570,20626,2025,March
2357570,172,2025,September
236850,81,2025,September
2379780,35745,2025,total
2379780,31993,2025,February
2379780,1581,2025,March
2379780,1715,2025,August
2379780,456,2025,September
2525310,40564,2025,total
2525310,39868,2025,August
2525310,696,2025,October
2753900,3397,2025,October
2767030,71285,2025,total
2767030,57336,2025,January
2767030,11109,2025,February
2767030,2840,2025,March
3035120,11170,2025,August
3115220,28603,2025,total
3115220,14566,2025,November
3115220,13923,2025,December
3115220,114,2025,September
3241660,14762,2025,May
333640,138,2025,March
333640,2393,2025,August
386070,85,2025,October
3920,282,2025,September
526870,75,2025,August
632470,688,2025,October
646570,29428,2025,total
646570,26051,2025,May
646570,3342,2025,June
646570,19,2025,August
646570,16,2025,October
920210,3375,2025,December
949230,177,2025,February
